clean_tweet,Sentiment
"<user> grocery stores are the biggest transmission vectors of coronavirus right now. Everyone is going to the grocery to stock up on food, standing in packed lines close to each other, with no gloves or masks on!",Negative
NEW VLOG! Many people who feared for a possible lockdown in Metro Manila are reportedly panic-buying basic food and household items. But will it help or will only aggravate the covid situation we are facing now? Know what Kuya Daniel says about it: <url>,Negative
.<user> blocks account of Vancouver couple who cleaned out Costco store shelves of lysol cleaning products in recent weeks and sold them on Amazon at four times the retail price. covid?19 coronavirus <url>,Negative
"At the grocery store, and it's damn near empty. I've never seen it like this, even when snow/ice is expected. People are literally panicking. Silver lining, gas prices are down ? coronavirus pandemic covid calm tf downy all",Negative
"Shelves at my local grocery store are bare or ransacked. But it is nice to see everyone being friendly. Letting other people in front of them in line, helping them find certain items and even making some toilet paper jokes. covid remain calm and kind",Positive
"I went shopping today and the part of town the supermarket is in has a lot of SE Asian people living nearby, so obvs using the same shop. The racism and ingnrance I heard and witnessed is 1 of the byproducts of this bullshit I can't handle! covid coronavirus corona outbreak",Negative
"I feel so stupid for worrying about this whole covid thing. Not the virus, but the socioeconomic impact and what the coming months will bring. More than likely canceling our trip in a month to Cancun, affecting job search. Even sean said we should stock up on canned food.",Negative
"Is your local grocery store wiped out from people stocking up because of the coronavirus? Panic-buying can ease anxiety, but the effects are typically short-lived. Here's a better way to cope. <url>",Positive
At the entrance to the supermarket here in romania. corona outbreak covid uk coronavirus <url>,Neutral
"4) state institutions encouraged to give services via email/phone when possible; 5) people who have been in covid countries asked to self-evaluate, self-carantine, not use public transport, use online shopping or go to places late in evening with mask and 2m from other people",Positive
People. If you are coughing or feeling sick stay at home. Do not go to the grocery store. Do not go to work. Please. This would be over if you just did that. covid coronavirus pan dumb ic,Negative
"Supermarkets pretty bare, online shopping not working - despite social distancing needing online shopping. Looks like coronavirus panic has taken over. Any plans <user> to address this? <url>",Positive
"I usually stock up on sanitizer like it's doomsday, but a few weeks ago I decided to be less of a germophobe. Bad timing.Adventures in online shopping - lmk where to find the hidden stash in NYC. <user> shame on you -I'd rather buy the ""I shit in the woods"" brand coronavirus <url>",Negative
covid Intense grocery store lines in New York City and elsewhere as people prepare for what could be a long stretch at home.The global pandemic has affected various aspects of life in the US reveals the unique nature of this crisis . coronavirus pakistan corona outbreak <url>,Negative
"I have lung disease and take immunosuppressants for my Crohns. If I catch covid I'm screwed. So, tbh, the person who made a comment towards me in the supermarket, just because I quite rightly wore a mask, can jog on quite frankly. covid",Negative
I believe this is a conspiracy by the supermarket owners to get rid of their stock... the amount of stores that are empty it's unreal ? covid,Negative
The lineup at the Muslim Brotherhood run Red Tomatoes in Rancho Cucamonga stretches around the entire inside perimetre of the grocery store. covid coron apocalypse <url>,Neutral
"Went to the supermarket today. No fresh veg, bread or meat. Managed to buy dog food, wine and Häagen Dazs Salted Caramel ice cream though, so all is well. covid?19 covid coronavirus espana <url>",Positive
Confirming goods out/going out of stock from food store Water. Bottled. Gone. Has the <user> reported covid lives in the water sent in pipes to people's home?? covid coronavirus <url>,Neutral
Maybe the panic shopping over coronavirus for bog roll and other food staples wasn't out of place seeing as though <user> can't stock their shelves and won't be getting any delivery's until further notice... better call the CEO again hey <user> <url>,Positive
Virus attacks! You need to stock on some food supplies! Meanwhile in America... coron apocalypse covid coronavirus <url>,Negative
Isn't it crazy how people stock up on toilet paper and not food? coronavirus corona outbreak,Negative
"i sneezed in line at the grocery store and this lady wearing gloves and a mask stares at me and JUMPS back, points at me and yells COVID! SHE HAS COVID like bitch no i got allergies. covid corona time corona",Negative
"OMG. IS HE REALLY TALKING ABOUT OIL PRICES? Sorry, I'll stop screaming now. covid",Negative
"Visiting the grocery store today, there's an obvious analogy of flattening the curve. If everyone goes shopping (or the hospital) at once, there are many that end up leaving without getting what they need; and some may need it most. coronavirus <url>",Neutral
"When you don't have a facemask so you have to become a full-on ninja to stock up on food and supplies ??. Stay safe, everyone! Social distance and NOT HOARDING supplies are key. X coronavirus corona virus sickness apocalypse survival writer write nerd food supplies <url>",Positive
Just ate something from my stock pile of food. It hasn't even started yet and I'm eating my inventory already covid coronavirus,Neutral
Scenes from grocery store battle ground part 2 This was Walmart Wimauma FL I don't even know what isle this was lol national emergency coron apocalypse covid covid?19 coronavirus <url>,Positive
"NATIONAL | Switzerland The supply of the entire population with food, medicines and everyday goods is ENSURED, and sufficient stocks have been created. NO NEED FOR PANIC BUYINGS! coronavirus covid schweiz switzerland corona info ch",Negative
Even <user> knew to stock up too! ? I had a delivery today and I'm having more delivered to me tomorrow to my house because some food is still being restocked daily for now! ??? b1 fba coronavirus covid?19 <url>,Neutral
Now is the best time ever to own a grocery store. just saying coronavirus sa covid coronavirus south africa <url>,Positive
"Gas prices going down is not a good thing, guys... hundreds, if not thousands, of oil field families are losing their jobs and subsequently their livelihood. This covid virus isn't just effecting folks through contracting illness. Worldwide spread panic is also a virus.",Negative
"Time for a global pause button while we wait this thing out. - no stock trading globally - only essential services (food delivery, infra maintenance) done by people who are continually tested for covid and get hazard pay and health care guarantees - ubiquitous testing, weekly",Positive
A lot of big grocery store chains are asking for a 10 dollar donation at check out for the food bank to help those who do not have the means to stock up I hope everyone makes that donation while they re out there binge buying,Positive
The covid pandemic is now a very real threat for many worldwide but why are some people stockpiling food and panic-buying toilet roll ?whilst others are not so fussed? Click below to read more ? <url> covid toilet paper crisis consumer insights <url>,Negative
All this proves is that the world could run at a lesser cost if we wanted. These people literally define prices by demand. Is this not a joke? covid,Negative
Don't let be lumped in with Toliet paper users folks <money>ADGS <money>CSPS <money>INO these prices aren't going to last forever ??? social distancing thursday thoughts thankful thursday covid block chain coronavirus pandemic cancel everything now coronavirus update corona outbreak scam <url>,Neutral
"Important Update: covid will not steal food from the supermarket! We are not yet in ireland lockdown and people already are panic buying - this is the situation in dublin South at 8:04, a good way to spread the virus. <url>",Positive
Rough weekend at Albert Heijn supermarket. To the restocking heros: 'Thank you for your service' corona coronavirus covid stay home <url>,Positive
"covid isn't what sent me into a panic. It's the people stocking up for the apocalypse and taking all of the food, soap, necessities, etc. that made me realize that I wouldn't be able to live a normal life and shop here and there for shit because it wouldn't be there.",Negative
"Come on guys, please be like bob! covid panic buying coronavirus <url>",Positive
Somehow I knew this year would be shite. I started noticing when I planned booking trips away over the year realising flight prices arent as good this year and I wouldn't be away as much as last year... 2020 is not mean to be! covid,Negative
"I've read posts about the covid saying to stock up on food, to take all your money in the bank out, and other extremes. That scares me.",Negative
Before we go out and start emptying the supermarket shelves please think about the most vulnerable in our country. Most supermarkets also have a bin for the food banks. How about putting a couple of tins in that too. covid <url>,Negative
14 Day Emergency Survival Kits 40 <percent> off. Both food and gear. Due to high global demand we are 1 week out on shipping. preparedness emergency survival kits coronavirus prep per 72hoursurvivalkits <url>,Negative
"<user> offers free 30day storage, <user> combats sanitizer prices, <user> offers free premium service. <user> offers free term to schools. Are you doing your part to help during this period or letting market forces work and increasing your prices? #",Positive
I am NOT panicked about the coronavirus. I am panicked about the people who are panicking over the coronavirus!! chillout no toilet paper nofood <url>,Positive
Why are old people... perusing through a grocery store... with no gloves on? And I look like a character off of Assassin's Creed. Make it make sense. wetrynnasaveyall covid <url>,Positive
President Trump announced that the US is now stockpiling our strategic oil reserve. Why? Because oil is on sale at <money> per barrel. A valuable asset being sold at hugely discounted prices. Are there other deals? covid stocks to watch markets <url>,Positive
"That's how you can find and update the availability of stock for essentials like toilet paper,sanitisers in your neighborhood. Support the community via <user> Maps via <user> covid usa <url>",Positive
coronavirus preparation: What to stock-up on <url> wuhan corona vi us china virus <user> ?<user>?,Neutral
"covid Response - Snow Angels have set about helping to set up very local befriending schemes to support people. Help those who need it with shopping and prescriptions, and dog walking. Volunteer application form is now online you can find it here. <url>",Positive
Remember not everyone can afford to stock pile months of food and toilet paper. Be sensitive to those who live pay-check to pay-check covid,Negative
"What if covid was a stunt for business to make money, since they're all going out of stock of things and making bank off of toilet paper, food, and water",Neutral
You can be as rational as can be about coronavirus covid but if the rest of the people around you are losing their damn minds and stripping the grocery stores bare you damn well better get to the store while there's still something on the shelves. coronavirus hysteria,Negative
"""COVID Flu"" would still create the necessary sense of urgency, but without the panic-inducing ""virus"" tag. Food for thought. covid coronavirus outbreak",Positive
"Food for thought... ""everyone is running around stocking up on toilet paper?... wouldn't it be better to stock up on Vitamin C and Probiotic to boost your immune system?"" coronavirus corona thought of the day",Positive
"off to get some food stock, next week asin at kanin na lang prayer covid fridaythe13th going crazy good luck",Neutral
"On a different note, I'd like to share ( and brag) that since this whole covid started, I did not need to buy a single alcohol based product I already have everything I might need! And joking aside, it's shameful how prices of these have gone up when needed most #???_???",Positive
I'm not actually that worried about covid...Other note. Huge shout-out to all my fellow retail employees who don't have the option to work from home and have to clean up the store AFTER all the guests have touched everything in their panic to stock up,Positive
"All you crazies out there panic buying, please don't forget about your pet's food. covid",Negative
I ve never seen it so crowded It was crazy in there Shopper at Stop amp Shop As more and more people prepare to stay home to slow the spread of stores amp online shopping services have been much busier than usual,Negative
"March 14th, 2020 coronavirus fears take hold in the Capitol. I went grocery shopping an hour after the store by me opened and it already looked very picked over. Very little meat No onions or potatoes No toilet paper Almost all bread gone today in washington <url>",Negative
The government should do something to flatten the curve of the consumer demand of the staple food and supplies. I bet that there will be at least one case caused by shopping at Costco in California. coronavirus panic shopping,Negative
"If you can, consider donating food/time/money to your local food bank to help those who can't stock up for self isolation. <user> does ace work in tower hamlets to support our most vulnerable neighbours, get involved here: <url> coronavirus covid",Positive
When I'm at the grocery store and somebody coughs: corona poc alyse coronavirus outbreak covid <url>,Neutral
"covid?19 coronavirus It's obvious, around the whole world! We need and ? for scientists, doctors, nurses, police, fire departments, food providers etc. Capitalist institutions and multinationals, stock-markets, etc, are not worth a penny!",Negative
Please stop shaming folks who stock up on food and personal care products in the face of made it clear that he doesn t care and won t help so they re protecting their families their way It s one small bit of mastery and control in terrifying times,Positive
"<user> Also remember your local Food Bank. Not everyone is able to afford the reassurance of a well stocked pantry. When you stock up, grab a couple of items for your local Food Bank. food insecurity covid bekind",Positive
<user> coronavirus tlna my big fear is purely money as I am a self employed Taxi Driver. If we go to lockdown Gov. Should hire us to help with online shopping deliveries as retailers would not be able to cope. Win-win!,Positive
<user> Heading out to a supermarket now as my fridge is almost empty - hoping there's something on the shelves for me ? will get something for the food bank friday of whatever I can too covid ? <url>,Positive
Winco on Front street in Boise water gone frozen food flying off the self shopping carts FULL every lane has a line medicine for cold and flu is out of stock,Negative
We've seen how a crisis can often bring out the best in ppl and we'd like to encourage everyone to carry on donating to food banks. Why not check with your local food bank to see which items are most needed? To everyone who has already donated - thank you > <url>,Positive
Long lines and empty shelves are what you can expect to find at your local grocery store. People were here early waiting for it to open in order to stock up on essentials with the looming threat of covid. <url>,Negative
"Get concise Vision, Mission and Value Statements for your brand at affordable prices loona covid thursday motivation trumptheworstpresidentever <url>",Positive
Dear General Public. PLEASE stop stockpiling food for the unlikely event you're prohibited to leave your home. You're making it hard for everyone to eat/drink affordably today and putting extra pressure on businesses and suppliers to keep up with demand. <user> coronavirus,Neutral
Call now 202 224 3121 and demand Congress pass the bill Free testing 14 days paid sick leave 3 months paid family leave Expanded unemployment insurance and food security Medicaid funds,Negative
Please Note Starting Monday March 16 will temporarily close to the public to help halt the spread of covid Online shopping at both retail locations will remain available amp our 24 hr book donation bins Stay well,Positive
saudi arabia's public prosecutor warned businesses of penalties including fines of up to <money> mln for any manipulation in prices during a crisis as the Kingdom ramps up efforts to combat the spread of the coronavirus. covid <url>,Negative
<user> If you can't find toilet paper in your local supermarket you can buy <user> book. anti semite covid,Neutral
When you go to purchase food stuff in stores please take a moment make real eye contact with the cashier stock person or other store worker and thank them for risking their lives so you and your family can eat Thank them,Positive
If the mid-wales population is wiped out by coronavirus covid atleast the homes will be full of cat dog food. Mind you they're going to have to evolve extremely quickly to be able to open the sachets and cans! As soon as we can put stock on supermarket shelves it goes,Neutral
"Why does every supermarket look like Tottenham Hotspur's trophy cabinet... here all week, also if I stay at home due to covid I'll be here longer <url>",Positive
covid ...! TECHNOLOGY MAY FULLY TAKE OVER 1- Cashless shopping 2- Instant messaging 3- Remote jobs 4- Internet of Things 5- Online Education NAME IT...! coron apocalypse covid nigeria corona outbreak,Neutral
"<user> In all seriousness, folks are dumping their pets at the shelters due to covid panic. If you can help out by donating food for other supplies to a local shelter and/or adopt a new best friend it would be most helpful. Thank you for your ki",Positive
coronavirus has boomers stocking their Doomsday bunker while millenial s are online shopping for bathing suits for their 5 island trip they just booked on Spirit for <money>. coronavirus update coronavirus pandemic,Negative
"What the hell is wrong with people? The panic to stock up (hoard) food, toilet paper, hand wipes, disinfectants, drinking water, bacon, processed meats, is all just crazy. This is a product of our media's constant harping on the dangers and quarantine time of covid. Enough!",Negative
Coming back from the grocery store like... coronavirus pandemic covid lockdown <url>,Positive
"I'm trying not to freak out, but being in the high risk of covid complications/death is starting to scare me. For now I'm only making vital trips out (grocery store, pharmacy), and trying to stay 6 feet away from people, but as the pandemic gets worse...idk. covid",Negative
"Trump says gas prices will go down and that's like a big tax cut. You're welcome, America. It won't cost as much to drive to all the funerals. covid",Positive
